"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","sample",1,1834742,"0.054433","0.000058","ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","sample",1,1126249,"0.044358","0.000067","ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","sample",1,1277451,"0.078166","0.000085","ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","sample",1,1068592,"0.046765","0.000071","ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","sample",1,1436604,"0.034786","0.000050","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","sample",1,1531506,"0.065203","0.000060","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","sample",1,979283,"0.051006","0.000077","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","sample",1,1670407,"0.059795","0.000057","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","sample",1,1876724,"0.053203","0.000053","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","sample",1,1340962,"0.074458","0.000062","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","sample",1,1165863,"0.085678","0.000083","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","sample",1,1377452,"0.072487","0.000083","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","sample",1,1558363,"0.064083","0.000069","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","sample",1,1794477,"0.055629","0.000061","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","sample",1,1651024,"0.060474","0.000067","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","sample",1,1076989,"0.046366","0.000078","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","sample",1,1018188,"0.049059","0.000103","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","sample",1,197579,"0.505666","0.000580","ms/op"
