"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","ss",1,100,0.342025,0.077643,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","ss",1,100,0.318918,0.085522,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","ss",1,100,0.274919,0.066507,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","ss",1,100,0.268228,0.024669,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","ss",1,100,0.237567,0.023169,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","ss",1,100,0.241097,0.027481,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","ss",1,100,0.232719,0.026642,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","ss",1,100,0.324622,0.022352,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","ss",1,100,0.731232,0.046242,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","ss",1,100,0.698817,0.051416,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","ss",1,100,0.599662,0.035199,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","ss",1,100,0.222478,0.013930,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","ss",1,100,0.883259,0.037588,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","ss",1,100,0.191540,0.017064,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","ss",1,100,0.261261,0.065108,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","ss",1,100,0.303285,0.070251,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","ss",1,100,0.324848,0.035380,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","ss",1,100,0.250337,0.056251,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","ss",1,100,0.258638,0.025370,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","ss",1,100,0.372094,0.045748,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","ss",1,100,0.317583,0.025814,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","ss",1,100,0.197813,0.024610,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","ss",1,100,0.308556,0.051165,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","ss",1,100,0.246581,0.031014,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","ss",1,100,0.328593,0.082980,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","ss",1,100,0.254642,0.030838,"ms/op"
