"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","ss",1,100,0.410848,0.032007,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","ss",1,100,0.369321,0.015940,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","ss",1,100,0.248365,0.015631,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","ss",1,100,0.377691,0.033816,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","ss",1,100,0.315944,0.036421,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","ss",1,100,0.361177,0.038355,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","ss",1,100,0.350890,0.035082,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","ss",1,100,0.442772,0.094973,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","ss",1,100,0.518423,0.120616,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","ss",1,100,0.428497,0.093568,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","ss",1,100,0.416695,0.097801,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","ss",1,100,0.384340,0.029404,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","ss",1,100,0.305658,0.021948,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","ss",1,100,0.320892,0.031409,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","ss",1,100,0.329179,0.034700,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","ss",1,100,0.576860,0.023219,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","ss",1,100,1.493306,0.041194,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","ss",1,100,1.560705,0.033166,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","ss",1,100,1.188817,0.030354,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","ss",1,100,0.344447,0.009255,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","ss",1,100,1.297545,0.031526,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","ss",1,100,0.298789,0.027284,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","ss",1,100,0.312273,0.025776,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","ss",1,100,0.370020,0.026003,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","ss",1,100,0.495112,0.055526,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","ss",1,100,0.356141,0.025733,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","ss",1,100,0.342609,0.020156,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","ss",1,100,0.451538,0.036136,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","ss",1,100,0.418201,0.018100,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","ss",1,100,0.274814,0.019552,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","ss",1,100,0.323953,0.025568,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","ss",1,100,0.337187,0.026882,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","ss",1,100,0.360150,0.017198,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","ss",1,100,0.304529,0.027712,"ms/op"
